rank,ticker,company_name,sector,country,aggregate_score,distance_from_cutoff,num_claims,max_confidence,min_confidence,ca_claims,cagr_claims,factual_claims,structural_weight,avg_kb2_adjustment,gatekeeper_triggered,in_sector_neutral_p30,in_topn_p60,in_topn_p90
171,GIL,Gildan Activewear Inc.,Consumer Discretionary,CANADA,0.528571,-0.128429,7,0.7,0.3,7,0,0,0.0,0.0,0,N,N,N
172,PM,Philip Morris International Inc.,Consumer Staples,UNITED STATES,0.525,-0.132,8,0.7,0.3,8,0,0,0.0,0.0,0,N,N,N
173,EL,Essilor International SA,Health Care,FRANCE,0.524545,-0.132455,11,0.7,0.3,9,1,1,0.0,0.0,0,N,N,N
174,VAR,"Varian Medical Systems, Inc.",Health Care,UNITED STATES,0.524286,-0.132714,7,0.7,0.4,3,1,3,0.0,0.0,0,N,N,N
175,USB,U.S. Bancorp,Financials,UNITED STATES,0.523636,-0.133364,11,0.7,0.4,10,1,0,0.0,0,0,N,N,N
176,STT,State Street Corporation,Financials,UNITED STATES,0.52125,-0.13575,8,0.7,0.3,5,3,0,0.0,0.0,0,N,N,N
177,NXT,Next plc,Consumer Discretionary,UNITED KINGDOM,0.520833,-0.136167,6,0.65,0.3,4,2,0,0.0,0.0,0,N,N,N
178,LLTC,Linear Technology Corporation,Information Technology,UNITED STATES,0.52,-0.137,10,0.7,0.3,10,0,0,0.0,0.0,0,N,N,N
179,BT_A,,,,0.518333,-0.138667,6,0.7,0.3,4,2,0,0.0,0.0,0,N,N,N
180,PEP,"PepsiCo, Inc.",Consumer Staples,UNITED STATES,0.517143,-0.139857,7,0.7,0.3,5,2,0,0.0,0,0,N,N,N
181,REL,RELX PLC,Consumer Discretionary,UNITED KINGDOM,0.514286,-0.142714,7,0.7,0.2,4,3,0,0.0,0,0,N,N,N
182,TMO,Thermo Fisher Scientific Inc.,Health Care,UNITED STATES,0.511429,-0.145571,7,0.6,0.3,3,2,2,0.0,0.0429,0,N,N,N
183,TSCO,Tractor Supply Company,Consumer Discretionary,UNITED STATES,0.51125,-0.14575,8,0.6,0.5,3,2,3,0.0,0.0357,0,N,N,N
184,SUNP,Sun Pharmaceutical Industries Limited,Health Care,INDIA,0.509167,-0.147833,12,0.7,0.3,4,4,4,0.0,-0.0182,0,N,N,N
185,HCLT,HCL Technologies Limited,Information Technology,INDIA,0.508333,-0.148667,6,0.7,0.4,4,1,1,0.0,-0.0556,0,N,N,N
186,ORCL,Oracle Corporation,Information Technology,UNITED STATES,0.508182,-0.148818,11,0.7,0.3,6,5,0,0.0,0,0,N,N,N
187,RIO,Rio Tinto Limited,Materials,AUSTRALIA,0.506667,-0.150333,9,0.7,0.3,5,4,0,0.0,-0.0231,0,N,N,N
188,035420,NAVER Corp.,Information Technology,KOREA,0.506071,-0.150929,14,0.7,0.3,6,3,5,0.0,-0.0458,0,N,N,N
189,HEN,Henkel AG & Co. KGaA,Consumer Staples,GERMANY,0.505833,-0.151167,6,0.7,0.3,3,3,0,0.0,0,0,N,N,N
190,AZM,Azimut Holding S.p.A.,Financials,ITALY,0.5,-0.157,7,0.65,0.35,7,0,0,0.0,0.0,0,N,N,N
191,BAX,Baxter International Inc.,Health Care,UNITED STATES,0.5,-0.157,7,0.7,0.3,7,0,0,0.0,0.05,0,N,N,N
192,DLTR,"Dollar Tree, Inc.",Consumer Discretionary,UNITED STATES,0.5,-0.157,7,0.7,0.3,7,0,0,0.0,0.0,0,N,N,N
193,MCO,Moody's Corporation,Financials,UNITED STATES,0.5,-0.157,7,0.7,0.3,7,0,0,0.0,0.0,0,N,N,N
194,AYI,"Acuity Brands, Inc.",Industrials,UNITED STATES,0.49625,-0.16075,8,0.7,0.3,6,2,0,0.0,0.0,0,N,N,N
195,PH,Parker-Hannifin Corporation,Industrials,UNITED STATES,0.49625,-0.16075,8,0.7,0.3,5,3,0,0.0,0,0,N,N,N
196,BAS,BASF SE,Materials,GERMANY,0.495833,-0.161167,12,0.9,0.3,9,1,2,0.0,0.0,0,N,N,N
197,WOW,Woolworths Ltd,Consumer Staples,AUSTRALIA,0.494444,-0.162556,9,0.7,0.3,7,1,1,0.0,0,0,N,N,N
198,SRG,Snam S.p.A.,Utilities,ITALY,0.49375,-0.16325,8,0.7,0.3,6,1,1,0.0,0.0,0,N,N,N
199,2454,MediaTek Inc,Information Technology,TAIWAN,0.492857,-0.164143,7,0.7,0.3,5,1,1,0.0,-0.0727,0,N,N,N
200,GT,Goodyear Tire & Rubber Company,Consumer Discretionary,UNITED STATES,0.492,-0.165,10,0.9,0.3,6,2,2,0.0,0,0,N,N,N
201,ASSAB,ASSA ABLOY AB Class B,Industrials,SWEDEN,0.490833,-0.166167,6,0.6,0.3,4,2,0,0.0,0.0,0,N,N,N
202,APH,Amphenol Corporation Class A,Information Technology,UNITED STATES,0.49,-0.167,6,0.6,0.4,5,1,0,0.0,0.0,0,N,N,N
203,PCP,Precision Castparts Corp.,Industrials,UNITED STATES,0.486364,-0.170636,11,0.7,0.3,4,4,3,0.0,0,0,N,N,N
204,TXN,Texas Instruments Incorporated,Information Technology,UNITED STATES,0.486154,-0.170846,13,0.7,0.3,6,2,5,0.0,-0.0227,0,N,N,N
205,0011,"Hang Seng Bank, Limited",Financials,HONG KONG,0.485714,-0.171286,7,0.7,0.4,6,0,1,0.0,-0.0615,0,N,N,N
206,DGE,Diageo plc,Consumer Staples,UNITED KINGDOM,0.484444,-0.172556,9,0.7,0.3,6,1,2,0.0,0.0,0,N,N,N
207,ATLN,Actelion Ltd.,Health Care,SWITZERLAND,0.484286,-0.172714,7,0.7,0.3,4,3,0,0.0,0,0,N,N,N
208,CRDA,Croda International Plc,Materials,UNITED KINGDOM,0.484167,-0.172833,12,0.7,0.3,6,2,4,0.0,0.0,0,N,N,N
209,MA,MasterCard Incorporated Class A,Information Technology,UNITED STATES,0.483,-0.174,10,0.7,0.3,5,5,0,0.0,0.0,0,N,N,N
210,CBRE,"CBRE Group, Inc. Class A",Financials,UNITED STATES,0.4825,-0.1745,6,0.65,0.4,3,3,0,0.0,0,0,N,N,N
211,TJX,"TJX Companies, Inc.",Consumer Discretionary,UNITED STATES,0.481364,-0.175636,11,0.7,0.3,6,5,0,0.0,0.0,0,N,N,N
212,UBSG,UBS Group AG,Financials,SWITZERLAND,0.480625,-0.176375,8,0.6,0.4,4,4,0,0.0,0.0,0,N,N,N
213,AXP,American Express Company,Financials,UNITED STATES,0.48,-0.177,10,0.7,0.3,10,0,0,0.0,-0.1,0,N,N,N
214,IBM,International Business Machines Corporation,Information Technology,UNITED STATES,0.48,-0.177,5,0.75,0.25,5,0,0,0.0,-0.0125,1,N,N,N
215,ROK,"Rockwell Automation, Inc.",Industrials,UNITED STATES,0.478333,-0.178667,12,0.9,0.2,6,4,2,0.0,0.0,5,N,N,N
216,SAB,SABMiller plc,Consumer Staples,UNITED KINGDOM,0.475833,-0.181167,12,0.6,0.3,6,2,4,0.0,0.0,0,N,N,N
217,AFL,Aflac Incorporated,Financials,UNITED STATES,0.475,-0.182,8,0.7,0.3,8,0,0,0.0,-0.1,0,N,N,N
218,BHI,Baker Hughes Incorporated,Energy,UNITED STATES,0.475,-0.182,8,0.7,0.3,8,0,0,0.0,-0.1,0,N,N,N
219,SWEDA,Swedbank AB Class A,Financials,SWEDEN,0.475,-0.182,6,0.7,0.3,3,3,0,0.0,0,0,N,N,N
220,UPS,"United Parcel Service, Inc. Class B",Industrials,UNITED STATES,0.475,-0.182,8,0.7,0.3,8,0,0,0.0,0.0,0,N,N,N
221,RMD,ResMed Inc.,Health Care,UNITED STATES,0.4725,-0.1845,12,0.7,0.3,11,1,0,0.0,0,0,N,N,N
222,SOON,Sonova Holding AG,Health Care,SWITZERLAND,0.4725,-0.1845,12,0.7,0.3,10,1,1,0.0,0.0,0,N,N,N
223,PRU,"Prudential Financial, Inc.",Financials,UNITED STATES,0.47125,-0.18575,8,0.7,0.3,5,3,0,0.0,0.0,0,N,N,N
224,GEBN,Geberit AG,Industrials,SWITZERLAND,0.471111,-0.185889,9,0.7,0.3,5,4,0,0.0,0,0,N,N,N
225,RAI,Reynolds American Inc.,Consumer Staples,UNITED STATES,0.47,-0.187,9,0.7,0.3,5,4,0,0.0,0,0,N,N,N
226,SEIC,SEI Investments Company,Financials,UNITED STATES,0.469,-0.188,10,0.7,0.1,6,4,0,0.0,0.0,0,N,N,N
227,TLS,Telstra Corporation Limited,Telecommunication Services,AUSTRALIA,0.469,-0.188,10,0.7,0.3,5,5,0,0.0,-0.0769,2,N,N,N
228,CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,UNITED STATES,0.46875,-0.18825,8,0.6,0.3,5,3,0,0.0,0,0,N,N,N
229,NOC,Northrop Grumman Corporation,Industrials,UNITED STATES,0.46875,-0.18825,8,0.7,0.3,7,1,0,0.0,-0.0929,1,N,N,N
230,XOM,Exxon Mobil Corporation,Energy,UNITED STATES,0.466667,-0.190333,6,0.7,0.3,6,0,0,0.0,0,0,N,N,N
231,COST,Costco Wholesale Corporation,Consumer Staples,UNITED STATES,0.465385,-0.191615,13,0.7,0.3,12,1,0,0.0,0,0,N,N,N
232,MKS,Marks and Spencer Group plc,Consumer Discretionary,UNITED KINGDOM,0.463333,-0.193667,6,0.6,0.3,4,2,0,0.0,0.0,0,N,N,N
233,NBL,"Noble Energy, Inc.",Energy,UNITED STATES,0.463333,-0.193667,9,0.7,0.3,6,3,0,0.0,-0.075,1,N,N,N
234,LR,Legrand SA,Industrials,FRANCE,0.4625,-0.1945,8,0.7,0.3,5,3,0,0.0,0,0,N,N,N
235,AZN,AstraZeneca PLC,Health Care,UNITED KINGDOM,0.46,-0.197,5,0.55,0.35,5,0,0,0.0,-0.0139,0,N,N,N
236,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,UNITED STATES,0.46,-0.197,5,0.7,0.3,5,0,0,0.0,0.0,0,N,N,N
237,HAL,Halliburton Company,Energy,UNITED STATES,0.46,-0.197,9,0.9,0.3,5,2,2,0.0,0,0,N,N,N
238,MPC,Marathon Petroleum Corporation,Energy,UNITED STATES,0.46,-0.197,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
239,MRSH,"Marsh & McLennan Companies, Inc.",Financials,UNITED STATES,0.46,-0.197,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
240,PPG,"PPG Industries, Inc.",Materials,UNITED STATES,0.46,-0.197,7,0.5,0.3,5,2,0,0.0,0,0,N,N,N
241,FLR,Fluor Corporation,Industrials,UNITED STATES,0.458333,-0.198667,6,0.5,0.3,5,1,0,0.0,0,0,N,N,N
242,RI,Pernod Ricard SA,Consumer Staples,FRANCE,0.457273,-0.199727,11,0.6,0.3,6,5,0,0.0,0,0,N,N,N
243,WMT,"Wal-Mart Stores, Inc.",Consumer Staples,UNITED STATES,0.456923,-0.200077,13,0.9,0.2,8,2,3,0.0,0,0,N,N,N
244,KNIN,Kuhne & Nagel International AG,Industrials,SWITZERLAND,0.455,-0.202,8,0.6,0.4,5,3,0,0.0,0.0,0,N,N,N
245,BNP,BNP Paribas SA Class A,Financials,FRANCE,0.45,-0.207,9,0.7,0.3,7,1,1,0.0,0.0,0,N,N,N
246,UTX,United Technologies Corporation,Industrials,UNITED STATES,0.45,-0.207,7,0.5,0.3,3,1,3,0.0,-0.05,0,N,N,N
247,DUK,Duke Energy Corporation,Utilities,UNITED STATES,0.447,-0.21,10,0.7,0.2,5,1,4,0.0,-0.1,0,N,N,N
248,BBDC4,Banco Bradesco SA Pfd,Financials,BRAZIL,0.44375,-0.21325,8,0.7,0.3,6,1,1,0.0,0.0,0,N,N,N
249,IAG,Insurance Australia Group Limited,Financials,AUSTRALIA,0.44375,-0.21325,8,0.7,0.3,6,1,1,0.0,-0.0818,0,N,N,N
250,JMT,Johnson Matthey Plc,Materials,UNITED KINGDOM,0.443333,-0.213667,6,0.65,0.25,4,2,0,0.0,0,0,N,N,N
251,AZO,"AutoZone, Inc.",Consumer Discretionary,UNITED STATES,0.442857,-0.214143,7,0.7,0.3,7,0,0,0.0,-0.0714,0,N,N,N
252,OMC,Omnicom Group Inc,Consumer Discretionary,UNITED STATES,0.442857,-0.214143,7,0.7,0.3,7,0,0,0.0,0.0,0,N,N,N
253,ITRK,Intertek Group plc,Industrials,UNITED KINGDOM,0.441667,-0.215333,6,0.65,0.25,5,1,0,0.0,0.0,0,N,N,N
254,ABIT,Anheuser-Busch InBev SA,Consumer Staples,BELGIUM,0.439375,-0.217625,8,0.5,0.3,5,3,0,0.0,0,0,N,N,N
255,ITX,"Industria de Diseno Textil, S.A.",Consumer Discretionary,SPAIN,0.439167,-0.217833,6,0.6,0.3,4,2,0,0.0,0.0,0,N,N,N
256,WTB,Whitbread PLC,Consumer Discretionary,UNITED KINGDOM,0.439167,-0.217833,12,0.7,0.2,8,4,0,0.0,0,0,N,N,N
257,TEL2,TE Connectivity Ltd.,Information Technology,UNITED STATES,0.437143,-0.219857,7,0.65,0.3,4,3,0,0.0,0,0,N,N,N
258,PCAR,PACCAR Inc,Industrials,UNITED STATES,0.435455,-0.221545,11,0.7,0.3,6,5,0,0.0,0,0,N,N,N
259,PFE,Pfizer Inc.,Health Care,UNITED STATES,0.431429,-0.225571,7,0.7,0.3,5,2,0,0.0,0,0,N,N,N
260,BMY,Bristol-Myers Squibb Company,Health Care,UNITED STATES,0.43,-0.227,11,0.6,0.2,8,3,0,0.0,0.0,0,N,N,N
261,DFS,Discover Financial Services,Financials,UNITED STATES,0.428571,-0.228429,7,0.7,0.2,4,3,0,0.0,0,0,N,N,N
262,WDC,Western Digital Corporation,Information Technology,UNITED STATES,0.428333,-0.228667,6,0.9,0.3,4,1,1,0.0,0,0,N,N,N
263,NOV,"National Oilwell Varco, Inc.",Energy,UNITED STATES,0.426364,-0.230636,11,0.7,0.3,8,3,0,0.0,-0.1125,2,N,N,N
264,CMI,Cummins Inc.,Industrials,UNITED STATES,0.425,-0.232,8,0.5,0.3,8,0,0,0.0,0.0,0,N,N,N
265,ULVR,Unilever PLC,Consumer Staples,UNITED KINGDOM,0.42125,-0.23575,8,0.5,0.3,5,3,0,0.0,0,0,N,N,N
266,ATD,,,,0.42,-0.237,5,0.75,0.3,5,0,0,0.0,-0.04,1,N,N,N
267,DG,Dollar General Corporation,Consumer Discretionary,UNITED STATES,0.416667,-0.240333,12,0.5,0.3,12,0,0,0.0,0,0,N,N,N
268,RR,,,,0.416667,-0.240333,6,0.6,0.2,4,2,0,0.0,0,0,N,N,N
269,SYF,Synchrony Financial,Financials,UNITED STATES,0.4155,-0.2415,10,0.6,0.3,6,4,0,0.0,0.0,0,N,N,N
270,MMM,3M Company,Industrials,UNITED STATES,0.415455,-0.241545,11,0.5,0.3,8,3,0,0.0,-0.1045,2,N,N,N
271,WPL,Woodside Petroleum Ltd,Energy,AUSTRALIA,0.414286,-0.242714,7,0.7,0.3,6,0,1,0.0,0,0,N,N,N
272,AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,UNITED STATES,0.4125,-0.2445,8,0.5,0.3,6,2,0,0.0,0.0,0,N,N,N
273,SGSN,SGS SA,Industrials,SWITZERLAND,0.411667,-0.245333,6,0.5,0.3,3,3,0,0.0,0,0,N,N,N
274,DSV,DSV A/S,Industrials,DENMARK,0.411429,-0.245571,7,0.7,0.2,4,3,0,0.0,0,0,N,N,N
275,VFC,V.F. Corporation,Consumer Discretionary,UNITED STATES,0.4075,-0.2495,8,0.5,0.3,4,1,3,0.0,-0.1,0,N,N,N
276,CVX,Chevron Corporation,Energy,UNITED STATES,0.407143,-0.249857,7,0.5,0.3,6,1,0,0.0,0.0,0,N,N,N
277,HCA,"HCA Holdings, Inc.",Health Care,UNITED STATES,0.4025,-0.2545,8,0.5,0.3,4,4,0,0.0,0,0,N,N,N
278,PSN,Persimmon Plc,Consumer Discretionary,UNITED KINGDOM,0.4,-0.257,7,0.65,0.2,7,0,0,0.0,-0.04,4,N,N,N
279,SYMC,Symantec Corporation,Information Technology,UNITED STATES,0.396667,-0.260333,15,0.5,0.25,6,4,5,0.0,-0.0607,0,N,N,N
280,GOOG,Alphabet Inc. Class C,Information Technology,UNITED STATES,0.393077,-0.263923,13,0.7,0.1,8,5,0,0.0,0.0,0,N,N,N
281,GOOGL,Alphabet Inc. Class A,Information Technology,UNITED STATES,0.393077,-0.263923,13,0.7,0.1,8,5,0,0.0,0.0,0,N,N,N
282,MJN,Mead Johnson Nutrition Company,Consumer Staples,UNITED STATES,0.392727,-0.264273,11,0.5,0.3,7,4,0,0.0,0,0,N,N,N
283,TEL,Telenor ASA,Telecommunication Services,NORWAY,0.382857,-0.274143,7,0.5,0.3,4,3,0,0.0,0,0,N,N,N
284,FLT,"FleetCor Technologies, Inc.",Information Technology,UNITED STATES,0.3825,-0.2745,12,0.5,0.3,7,5,0,0.0,0,0,N,N,N
285,BEN,"Franklin Resources, Inc.",Financials,UNITED STATES,0.38,-0.277,5,0.5,0.3,5,0,0,0.0,0,0,N,N,N
286,LOW,"Lowe's Companies, Inc.",Consumer Discretionary,UNITED STATES,0.38,-0.277,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
287,M,Macy's Inc,Consumer Discretionary,UNITED STATES,0.38,-0.277,5,0.5,0.3,5,0,0,0.0,0,0,N,N,N
288,WFM,"Whole Foods Market, Inc.",Consumer Staples,UNITED STATES,0.376,-0.281,5,0.9,0.2,3,1,1,0.0,0,0,N,N,N
289,FEMSAUBD,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,Consumer Staples,MEXICO,0.375,-0.282,8,0.5,0.3,8,0,0,0.0,0.0,0,N,N,N
290,LIN,"Praxair, Inc.",Materials,UNITED STATES,0.368333,-0.288667,12,0.7,0.1,5,4,3,0.0,0,0,N,N,N
291,HRL,Hormel Foods Corporation,Consumer Staples,UNITED STATES,0.36,-0.297,9,0.5,0.3,5,4,0,0.0,0,0,N,N,N
292,UAA,"Under Armour, Inc. Class A",Consumer Discretionary,UNITED STATES,0.36,-0.297,9,0.5,0.2,5,4,0,0.0,0,0,N,N,N
293,DOV,Dover Corporation,Industrials,UNITED STATES,0.357143,-0.299857,7,0.5,0.3,7,0,0,0.0,0.0,0,N,N,N
294,CM,Canadian Imperial Bank of Commerce,Financials,CANADA,0.354,-0.303,5,0.5,0.3,4,1,0,0.0,0.0,0,N,N,N
295,CCK,"Crown Holdings, Inc.",Materials,UNITED STATES,0.35375,-0.30325,8,0.5,0.3,4,4,0,0.0,0,0,N,N,N
296,EMR,Emerson Electric Co.,Industrials,UNITED STATES,0.35,-0.307,8,0.5,0.3,8,0,0,0.0,0,0,N,N,N
297,ADN,Aberdeen Asset Management PLC,Financials,UNITED KINGDOM,0.34,-0.317,11,0.5,0.2,7,2,2,0.0,0.0,0,N,N,N
298,MRU,Metro Inc.,Consumer Staples,CANADA,0.34,-0.317,5,0.5,0.3,5,0,0,0.0,0.0,0,N,N,N
299,MTB,M&T Bank Corporation,Financials,UNITED STATES,0.34,-0.317,5,0.5,0.3,5,0,0,0.0,0,0,N,N,N
300,VIAB,Viacom Inc. Class B,Consumer Discretionary,UNITED STATES,0.338889,-0.318111,9,0.6,0.2,5,4,0,0.0,0,0,N,N,N
301,0688,China Overseas Land & Investment Limited,Financials,CHINA,0.3225,-0.3345,8,0.5,0.2,4,4,0,0.0,-0.0636,0,N,N,N
302,PGR,Progressive Corporation,Financials,UNITED STATES,0.307,-0.35,10,0.4,0.2,8,1,1,0.0,0,0,N,N,N
303,HFC,HollyFrontier Corporation,Energy,UNITED STATES,0.305,-0.352,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
304,CIEL3,Cielo S.A.,Information Technology,BRAZIL,0.304167,-0.352833,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
305,STX,Seagate Technology PLC,Information Technology,UNITED STATES,0.3,-0.357,11,0.5,0.1,11,0,0,0.0,0,0,N,N,N
306,YHOO,Yahoo! Inc.,Information Technology,UNITED STATES,0.298,-0.359,5,0.9,0.1,3,1,1,0.0,0,2,N,N,N
307,WTW,Towers Watson & Co. Class A,Industrials,UNITED STATES,0.287778,-0.369222,9,0.4,0.2,6,3,0,0.0,0,0,N,N,N
308,DOL,Dollarama Inc.,Consumer Discretionary,CANADA,0.2875,-0.3695,12,0.3,0.3,7,5,0,0.0,0,0,N,N,N
309,SLM,Sanlam Limited,Financials,SOUTH AFRICA,0.2875,-0.3695,8,0.5,0.2,5,3,0,0.0,0,0,N,N,N
310,CLVSQ,"Clovis Oncology, Inc.",Health Care,UNITED STATES,0.251667,-0.405333,6,0.4,0.2,4,2,0,0.0,0,0,N,N,N
311,CPB,Campbell Soup Company,Consumer Staples,UNITED STATES,0.22,-0.437,4,0.3,0.2,3,1,0,0.0,0,0,N,N,N
312,AGN,Allergan plc,Health Care,UNITED STATES,0.192,-0.465,5,0.3,0.1,3,2,0,0.0,0.0,0,N,N,N
313,KHC,Kraft Heinz Company,Consumer Staples,UNITED STATES,0.15875,-0.49825,4,0.25,0.1,3,1,0,0.0,0.0,0,N,N,N
